NAME,NTEE1,"Full Address",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"COMMERCIAL REAL ESTATE WOMEN- JACKSONVILLE INC",R,"225 WATER STREET SUITE 1280 JACKSONVILLE, FL 32202",30.325776,-81.661548,1,rooftop,225,"Water St",Ste,1280,Jacksonville,FL,"Duval County",32202,US,Duval
"TEXAS ENDOCRINOLOGY ASSOCIATION INC",S,"245 RIVERSIDE AVE STE 200 JACKSONVILLE, FL 32202",30.321219,-81.672271,1,rooftop,245,"Riverside Ave",Ste,200,Jacksonville,FL,"Duval County",32202,US,Duval
"LOWER NY CHAPTER OF AACE",S,"245 RIVERSIDE AVE STE 200 JACKSONVILLE, FL 32202",30.321219,-81.672271,1,rooftop,245,"Riverside Ave",Ste,200,Jacksonville,FL,"Duval County",32202,US,Duval
"SUZANNE WESTER MATTEO M D CHARITABLE FOUNDATION",T,"207 NABB LOOP TALLAHASSEE, FL 32317",30.459136,-84.175561,1,rooftop,207,"Nabb Loop",,,Tallahassee,FL,"Leon County",32317,US,Leon
"TOASTMASTERS INTERNATIONAL",W,"12342 WINDSTREAM LN JACKSONVILLE, FL 32258",30.149101,-81.56514,1,rooftop,12342,"Windstream Ln",,,Jacksonville,FL,"Duval County",32258,US,Duval
"FRESH MINISTRIES FOUNDATION INC",T,"1131 N LAURA ST JACKSONVILLE, FL 32206",30.337185,-81.656174,1,rooftop,1131,"Laura St N",,,Jacksonville,FL,"Duval County",32206,US,Duval
"INTERNATIONAL ASSOCIATION OF LIONS CLUBS",S,"8223 PROVINCIAL CIR N JACKSONVILLE, FL 32277",30.363054,-81.56004,1,rooftop,8223,"Provincial Cir N",,,Jacksonville,FL,"Duval County",32277,US,Duval
"ENERGY EXPLORERS INC",W,"5209 SAN JOSE BLVD STE 101 JACKSONVILLE, FL 32207",30.264791,-81.646689,1,rooftop,5209,"San Jose Blvd",Ste,101,Jacksonville,FL,"Duval County",32207,US,Duval
"RADHA DEVI JOSHI FAMILY FOUNDATION INC",T,"13830 SAXON LAKE DR JACKSONVILLE, FL 32225",30.361671,-81.451887,1,rooftop,13830,"Saxon Lake Dr",,,Jacksonville,FL,"Duval County",32225,US,Duval
"DECHOMAI FOUNDATION INC",T,"3713 PINE ST JACKSONVILLE, FL 32205",30.293553,-81.706336,1,rooftop,3713,"Pine St",,,Jacksonville,FL,"Duval County",32205,US,Duval
"LIGHT IN THE WORD MINISTRY INC",W,"16144 DOWING CREEK DR JACKSONVILLE, FL 32218",30.532893,-81.618617,1,rooftop,16144,"Dowing Creek Dr",,,Jacksonville,FL,"Duval County",32218,US,Duval
"LADIES AUXILLARY OF THE FLEET RESERVE ASS FIRST COAST UNIT 91",W,"5391 COLLINS RD JACKSONVILLE, FL 32244",30.200108,-81.719063,1,rooftop,5391,"Collins Rd",,,Jacksonville,FL,"Duval County",32244,US,Duval
"TOASTMASTERS INTERNATIONAL",W,"21 W CHURCH ST JACKSONVILLE, FL 32202",30.33025,-81.657153,1,rooftop,21,"Church St W",,,Jacksonville,FL,"Duval County",32202,US,Duval
"POWER FOR DEVELOPING SUCCESSFUL YOUTH INC",W,"7578 NEW KINGS RD JACKSONVILLE, FL 32219",30.390873,-81.736281,1,rooftop,7578,"New Kings Rd",,,Jacksonville,FL,"Duval County",32219,US,Duval
"HENRIKSEN CHARITABLE TR",T,"9802 BAYMEADOWS RD STE 12 JACKSONVILLE, FL 32256",30.218061,-81.553193,1,rooftop,9802,"Baymeadows Rd",Ste,12,Jacksonville,FL,"Duval County",32256,US,Duval
"DESTINED FOR CHANGE",T,"539 ESTES RD JACKSONVILLE, FL 32208",30.390791,-81.664434,1,rooftop,539,"Estes Rd",,,Jacksonville,FL,"Duval County",32208,US,Duval
"EVERLASTING FAMILIES OF BLODGETT HOMES AND SURROUNDING AREAS",S,"PO BOX 12402 JACKSONVILLE, FL 32209",30.389438,-81.680806,0.5,place,12402,"PO Box",,,Jacksonville,FL,"Duval County",32209,US,"TIGER/Line® dataset from the US Census Bureau"
"WOMEN OF DESTINY FELLOWSHIP INC",S,"11285 ISLAND CLUB LN JACKSONVILLE, FL 32225",30.386911,-81.521461,1,rooftop,11285,"Island Club Ln",,,Jacksonville,FL,"Duval County",32225,US,Duval
"NORTHEAST FLORIDA ROOFING & SHEETMETAL CONTRACTORS ASSOCIATION",S,"10124 JACKSONVILLE, FL 32247",30.34494,-81.683107,0.5,place,,,,,Jacksonville,FL,"Duval County",32247,US,"TIGER/Line® dataset from the US Census Bureau"
"RAILWAY SYSTEMS SUPPLIERS INC",W,"13133 PROFESSIONAL DR STE 100 JACKSONVILLE, FL 32225",30.320958,-81.463383,1,rooftop,13133,"Professional Dr",Ste,100,Jacksonville,FL,"Duval County",32225,US,Duval
"DURA CONNELL FOUNDATION",T,"9000 SOUTHSIDE BLVD BLDG 400 FL9-40 JACKSONVILLE, FL 32256",30.193831,-81.553836,1,rooftop,9000,"Southside Blvd",Bldg,400,Jacksonville,FL,"Duval County",32256,US,Duval
"TOASTMASTERS INTERNATIONAL",W,"4422 LONGFELLOW ST JACKSONVILLE, FL 32210",30.269573,-81.710171,1,rooftop,4422,"Longfellow St",,,Jacksonville,FL,"Duval County",32210,US,Duval
"MAE CADWELL ROVENSKY",T,"9000 SOUTHSIDE BLVD BLDG 400 FL9-40 JACKSONVILLE, FL 32256",30.193831,-81.553836,1,rooftop,9000,"Southside Blvd",Bldg,400,Jacksonville,FL,"Duval County",32256,US,Duval
"ACOSTA RUA FAMILY FOUNDATION INC",T,"5130 UNIVERSITY BLVD W JACKSONVILLE, FL 32216",30.267612,-81.615566,1,rooftop,5130,"University Blvd W",,,Jacksonville,FL,"Duval County",32216,US,Duval
"LORDS FOUNDATION INC",T,"118 E MONROE ST JACKSONVILLE, FL 32202",30.327871,-81.655586,1,rooftop,118,"Monroe St E",,,Jacksonville,FL,"Duval County",32202,US,Duval
"TAYLOR FAMILY FOUNDATION",T,"408 OCEAN FRONT NEPTUNE BEACH, FL 32266",30.321851,-81.394805,1,rooftop,408,"Ocean Front",,,"Neptune Beach",FL,"Duval County",32266,US,Duval
"PARROT HEADS IN NATURAL SETTINGS INC",T,"567 GLACIER PT JACKSONVILLE, FL 32234",30.176136,-81.988714,1,rooftop,567,"Glacier Pt",,,Jacksonville,FL,"Clay County",32234,US,"Clay County"
"JACKSONVILLE WOMENS NETWORK INC",S,"PO BOX 47078 JACKSONVILLE, FL 32247",30.389438,-81.680806,0.5,place,47078,"PO Box",,,Jacksonville,FL,"Duval County",32247,US,"TIGER/Line® dataset from the US Census Bureau"
"JACKSONVILLE FOR LIFE",R,"PO BOX 6483 JACKSONVILLE, FL 32236",30.389438,-81.680806,0.5,place,6483,"PO Box",,,Jacksonville,FL,"Duval County",32236,US,"TIGER/Line® dataset from the US Census Bureau"
